1,Bite,Bee Bite,Description of Bee Bite,1. Remove Stinger : Scrape the area with a fingernail or credit card to remove it. Don't pinch the stinger with your fingers or tweezers  that can inject more venom. 2. Clean the area : Wash the bite or sting with mild soap and water. 3. Treat Symptoms : Remove any tight jewelry from the area of the bite or sting. It could be hard to get off once the area swells Ice the area for 10 minutes and then remove the ice for 10 minutes. Then repeat If the sting was on an arm or leg, elevate the area Apply a mixture of baking soda and water or calamine lotion for itch.
17,Irritation or Infection,Loose motion,Dehyderation/Lose motion in adults,Take Fluids. Give an adult plenty of clear fluid; like fruit juices; soda; sports drinks and clear broth. Avoid milk or milk-based products; alcohol; apple juice; and caffeine while you have diarrhea and for 3 to 5 days after you get better. They may make diarrhea worse.
18,Irritation/Infection,Skin rash,Skin rash first aid,There a number of home remedies that people have used for years to relieve the symptoms caused by allergic skin reactions. Here are some of them: Oatmeal. Oatmeal bath. Baking soda can address skin pH imbalance and works as an anti-inflammatory to soothe your skin allergy. Aloe vera. Topical use of the clear gel of the aloe plant may soothe the itch of atopic dermatitis and other skin issues. skin allergy home remedies include: basil. chamomile. coriander. English marigold. neem.
19,Seasonal Illness,Cold and Cough,Cold and cough in adult,Blow Your Nose Often (and the Right Way) Treat That Stuffy Nose With Warm Salt Water. Stay Warm and Rested. Gargle. To reduce the tickle in your throat; try an astringent gargle -- such as tea that contains tannin to tighten the membranes. Or use a thick; viscous gargle made with honey or honey and apple cider vinegar. Seep one tablespoon of raspberry leaves or lemon juice in two cups of hot water; mix with one teaspoon of honey. Let the mixture cool to room temperature before gargling. Drink Hot Liquids. Take a Steamy Shower. Use a Salve Under Your Nose. Apply Hot or Cold Packs Around Your Congested Sinuses. Sleep With an Extra Pillow Under Your Head. Don't Fly Unless Necessary. Eat Infection-Fighting Foods
20,Seasonal Illness,Fever,Fever in adult, Offer plenty of liquids to avoid dehydration. Give acetaminophen or ibuprofen based on the doctor's recommendations. Do not give aspirin. Never use rubbing alcohol or cold baths to bring the fever down. Dress in lightweight clothing and cover with a light sheet or blanket. Eat what you wants; and don't force eating if doesn't feel like it. If also vomiting and/or has diarrhea; consult doctor. Make sure you gets plenty of rest.
21,Seasonal Illness,Giddiness,Giddiness first aid,If you have a tendency to faint and you are able to identify any situations that provoke fainting; try to avoid them. Dehydration must also be avoided in older patients.
22,Seasonal Illness,Nose bleeding,Node bleeding first aid,Stop the Bleeding.Call a Health Care Provider
23,Seasonal Illness,Tiredness,Tirdness in adults,Eat your breakfast. People who eat breakfast every morning report less fatigue and stress than people who skip it. High-fiber foods; like hot oatmeal; stick with you longer than a sweet roll or pastry. As the day wears on; they'll prevent you from getting hungry (hunger can lead to low energy).Some studies have found that yoga; which uses various postures and deep breathing for exercise and meditation; can be an excellent fatigue fighter.
24,Wound,Blood clot,Blood clot in leg or arm,Blood Clot Symptoms : Leg or arm- excessive pain; swelling; warm feeling in the affected area and cramps. Use Turmeric.
25,Wound,Cut,External cut first aid, Wash your hands. First; wash up with soap and water so you don’t get bacteria into the cut and cause an infection. If you’re on the go; use hand sanitizer. Stop the bleeding. Put pressure on the cut with a gauze pad or clean cloth. Keep the pressure on for a few minutes. Clean the wound. Once you’ve stopped the bleeding; rinse the cut under cool running water or use a saline wound wash. Clean the area around the wound with soap and a wet washcloth. Don’t get soap in the cut; because it can irritate the skin. And don’t use hydrogen peroxide or iodine; which could irritate the cut. Remove any dirt or debris. Use a pair of tweezers cleaned with alcohol to gently pick out any dirt; gravel; glass; or other material in the cut. Check with your doctor or go to the emergency room if: The cut is deep; long; or the edges are jagged. You may need stitches and a tetanus shot. The cut or scrape is from a dirty or rusty object. You may need a tetanus shot. The injury is from an animal or human bite. You can’t stop the bleeding with direct pressure. You can’t get dirt out of the wound. You have a fever of more than 100.4 F (in either an adult or child).
26,Wound,Fracture,Fracture first aid,Immobilize the Finger : Tape the broken finger to an adjacent non-broken finger. Control Swelling. Cool the finger by applying ice that is wrapped in a towel -- don't apply ice directly to the skin; it can cause a burn. Get Help. Call a health care provider or go to a hospital emergency room immediately so the broken finger can be X-rayed and properly set. Without treatment; it may not heal properly and could lead to a permanent deformity.
